approved,income,loan_amount,credit_history,employment_type,existing_loans,gender,age_group,geography
0,35371.01559384846,20000,3,Self-Employed,1,Female,Young,Rural
0,29449.3091419712,120000,5,Self-Employed,2,Female,Young,Rural
1,57604.15929734778,90000,5,Self-Employed,2,Female,Middle-aged,Rural
1,48569.94128469337,50000,5,Self-Employed,1,Female,Middle-aged,Suburban
1,83978.62202608548,50000,5,Self-Employed,1,Male,Senior,Rural
1,59371.887414886936,50000,5,Employed,2,Male,Middle-aged,Urban
1,43063.26824203278,500000,5,Employed,2,Male,Young,Urban
1,33231.0172089072,100000,5,Self-Employed,2,Female,Young,Rural
1,48524.8348112806,140000,5,Unemployed,1,Female,Young,Suburban
1,43100.08043037445,20000,5,Unemployed,2,Male,Middle-aged,Urban
1,56003.73006460345,200000,5,Unemployed,2,Female,Middle-aged,Rural
1,75310.08287171161,260000,5,Employed,2,Female,Senior,Urban
1,51756.78200270117,630000,5,Self-Employed,2,Female,Middle-aged,Rural
0,51634.998392760506,70000,4,Self-Employed,2,Male,Young,Suburban
1,34885.14310014765,250000,5,Employed,2,Male,Young,Suburban
1,38041.20996161751,50000,4,Unemployed,3,Female,Young,Suburban
0,31767.537506128436,20000,5,Employed,2,Male,Young,Rural
1,73184.0862644393,320000,5,Employed,1,Male,Middle-aged,Rural
1,61074.72614815114,360000,4,Employed,1,Female,Middle-aged,Rural
1,42831.58688305787,180000,4,Employed,2,Female,Young,Suburban
1,62173.20094115906,130000,5,Unemployed,2,Female,Middle-aged,Suburban
0,62274.607447619506,120000,5,Self-Employed,1,Female,Middle-aged,Suburban
0,41188.478604449156,70000,3,Self-Employed,2,Female,Young,Suburban
0,62090.785211433606,450000,5,Employed,1,Female,Middle-aged,Rural
1,40803.85662312755,90000,5,Employed,2,Male,Young,Rural
1,29890.339632495256,50000,5,Unemployed,2,Male,Young,Suburban
0,43619.632347499195,60000,4,Employed,2,Male,Young,Suburban
1,46992.10722318642,50000,5,Unemployed,2,Female,Young,Suburban
1,73028.25116872104,50000,5,Unemployed,1,Female,Middle-aged,Rural
1,41949.13305984118,50000,5,Employed,2,Male,Young,Rural
1,44107.49967364762,230000,5,Employed,2,Female,Young,Suburban
0,45728.789582657395,50000,3,Self-Employed,2,Male,Middle-aged,Urban
1,48827.06883127727,100000,5,Employed,2,Male,Middle-aged,Rural
1,86133.89000460514,500000,5,Self-Employed,1,Female,Senior,Suburban
1,83333.86857662913,500000,5,Employed,1,Male,Senior,Rural
1,39808.490264265696,160000,5,Employed,2,Male,Young,Rural
1,62941.15275069302,280000,5,Self-Employed,1,Male,Middle-aged,Suburban
1,35246.18875521353,60000,5,Self-Employed,2,Female,Young,Suburban
0,38370.128701919246,50000,4,Employed,2,Male,Young,Urban
